task_id,stratum,policy,status,passed,oracle_length,selected_length,selected_minus_oracle,candidate_sha256,compile_passed,error_type,error_message,total_sec_including_probe,decode_sec,verification_sec
SingleLineInfilling/HumanEval/130/L7,missed_failed_long,oracle_sufficient_canvas,ok,False,30,30,0,c402cd8df594dc524c06a7c89ee5d4803c67c62a518d08496f0d17bcb30166fc,True,UnitTestFailure,"failed: list indices must be integers or slices, not float",1.4616381749510765,1.3701550909900106,0.09148308396106586
SingleLineInfilling/HumanEval/151/L0,missed_failed_long,primary_control,ok,False,29,12,-17,ba5acf232ccf58c4160d95434ad735073c5e770ec3b5e09f2eebbe262522890e,True,UnitTestFailure,failed: This prints if this assert fails 2 (good for debugging!),4.878676298074424,3.8337332978844643,0.5264988131821156
SingleLineInfilling/HumanEval/151/L0,missed_failed_long,best_simple_length_policy,ok,False,29,12,-17,ba5acf232ccf58c4160d95434ad735073c5e770ec3b5e09f2eebbe262522890e,True,UnitTestFailure,failed: This prints if this assert fails 2 (good for debugging!),3.1006777798756957,2.4322149213403463,0.20290118176490068
SingleLineInfilling/HumanEval/151/L0,missed_failed_long,oracle_sufficient_canvas,ok,False,29,29,0,5cbf860942bd801ecde92a31a033cbd6744327ecd58d2913bf57b418f04e4dea,True,UnitTestFailure,failed: This prints if this assert fails 5 (also good for debugging!),1.2523715890129097,1.157653525006026,0.09471806400688365
SingleLineInfilling/HumanEval/128/L1,missed_failed_long,primary_control,ok,False,28,6,-22,3f30d6d8dbf4414968e203619e915b69d7988fb2efebbb02898483388909b520,True,UnitTestFailure,failed: local variable 'prod' referenced before assignment,2.7656893683597445,2.4165270859375596,0.12754056695848703
SingleLineInfilling/HumanEval/128/L1,missed_failed_long,best_simple_length_policy,ok,False,28,13,-15,87e75bce1768fe1aeba1bc152b967cdc97bf0479a30059e77d2e484a8d68b40d,True,UnitTestFailure,failed: local variable 'prod' referenced before assignment,3.0743734603747725,2.456493118777871,0.20931471791118383
SingleLineInfilling/HumanEval/128/L1,missed_failed_long,oracle_sufficient_canvas,ok,False,28,28,0,63f54a996b14f1db84aea1e8fb2625cab05ce3caa19edf8cec0b576e22a16f8b,True,UnitTestFailure,failed: ,1.2539594420231879,1.1569185890257359,0.09704085299745202
SingleLineInfilling/HumanEval/157/L0,missed_failed_long,primary_control,ok,False,29,14,-15,c71842698a9fcd30e2945e20b33d6a905dd5bad27e60f74892742815a5d5fac6,True,UnitTestFailure,failed: ,2.3923919945955276,2.049644914455712,0.12760109174996614
SingleLineInfilling/HumanEval/157/L0,missed_failed_long,best_simple_length_policy,ok,False,29,14,-15,c71842698a9fcd30e2945e20b33d6a905dd5bad27e60f74892742815a5d5fac6,True,UnitTestFailure,failed: ,2.5701292706653476,2.0651566702872515,0.15849211532622576
SingleLineInfilling/HumanEval/157/L0,missed_failed_long,oracle_sufficient_canvas,ok,False,29,29,0,a79ed945c4908eb0ecfa17fd014d8eef0726e4fa3487d779330c3a64142ea4da,True,UnitTestFailure,failed: ,1.2596623179269955,1.1616268669604324,0.09803545096656308
SingleLineInfilling/HumanEval/47/L4,missed_failed_long,primary_control,ok,False,29,10,-19,509e840f5f8ae2cde6f62a6f56d8df7f2bd731ccc3c5b54549635edfd5d2a1bc,True,UnitTestFailure,failed: ,2.4154412746429443,2.043591964058578,0.15926326345652342
SingleLineInfilling/HumanEval/47/L4,missed_failed_long,best_simple_length_policy,ok,False,29,10,-19,509e840f5f8ae2cde6f62a6f56d8df7f2bd731ccc3c5b54549635edfd5d2a1bc,True,UnitTestFailure,failed: ,2.5468839621171355,2.038360208272934,0.1425281474366784
SingleLineInfilling/HumanEval/47/L4,missed_failed_long,oracle_sufficient_canvas,ok,True,29,29,0,682536d6810aa26b15c660d964aaf4e0cc2fe3704c1cb4b1aefc94efd4940d78,True,,,1.2651718630222604,1.165170147025492,0.10000171599676833
SingleLineInfilling/HumanEval/95/L16,missed_failed_long,primary_control,ok,False,27,14,-13,1cdc3b8d43d15e463080092c64cba577a36f9ce0a79d12a19fe688f37e806043,False,SyntaxError,"invalid syntax (<unknown>, line 34)",4.186740027740598,3.972155664116144,0.0002642683684825897
SingleLineInfilling/HumanEval/95/L16,missed_failed_long,best_simple_length_policy,ok,False,27,14,-13,1cdc3b8d43d15e463080092c64cba577a36f9ce0a79d12a19fe688f37e806043,False,SyntaxError,"invalid syntax (<unknown>, line 34)",4.316838953644037,3.979014039039612,0.00022582709789276123
SingleLineInfilling/HumanEval/95/L16,missed_failed_long,oracle_sufficient_canvas,ok,False,27,27,0,ffe0a8112da5295a6a06931901237be23be17a6b25ce9e9d605a076fbc54e03d,True,UnitTestFailure,failed: Second test error: True,1.3552599930553697,1.2583771289791912,0.09688286407617852
SingleLineInfilling/HumanEval/80/L5,triggered_failed_long,primary_control,ok,False,33,11,-22,be6dbc446727b1f1075e23843b72987a026ff0f6ba1c855373dee69683f48511,True,UnitTestFailure,failed: aabb,2.797253510914743,2.479986702091992,0.0929127549752593
SingleLineInfilling/HumanEval/80/L5,triggered_failed_long,best_simple_length_policy,ok,False,33,11,-22,be6dbc446727b1f1075e23843b72987a026ff0f6ba1c855373dee69683f48511,True,UnitTestFailure,failed: aabb,3.0253160167485476,2.477592962794006,0.1658656308427453
SingleLineInfilling/HumanEval/80/L5,triggered_failed_long,oracle_sufficient_canvas,ok,True,33,33,0,e478364eff25f6688683d37a57770ea316eaa4f042b631bba3214fa8b17d8b4b,True,,,1.2577830069931224,1.1626647399971262,0.09511826699599624
SingleLineInfilling/HumanEval/71/L3,triggered_failed_long,primary_control,ok,False,29,15,-14,47be7fd7dc3af4680d127a40779c8c0683c72b7e7358b69ca34ab921907a1ff7,True,UnitTestFailure,failed: name 'sqrt' is not defined,2.974901874549687,2.638663333840668,0.12289116159081459
SingleLineInfilling/HumanEval/71/L3,triggered_failed_long,best_simple_length_policy,ok,False,29,15,-14,47be7fd7dc3af4680d127a40779c8c0683c72b7e7358b69ca34ab921907a1ff7,True,UnitTestFailure,failed: name 'sqrt' is not defined,3.120884358882904,2.628451435826719,0.16713714133948088
SingleLineInfilling/HumanEval/71/L3,triggered_failed_long,oracle_sufficient_canvas,ok,True,29,29,0,0c33d330e24e9199e4651fff4adf5fed8dd328de1d25e06086f613c1307a77d8,True,,,1.2532909639994614,1.1567903090035543,0.0965006549959071
SingleLineInfilling/HumanEval/147/L0,triggered_failed_long,primary_control,ok,False,21,16,-5,ce2de851cbdc6da48ceb692da74bc2a47737dd41b600f99f88571886ab4ec8c9,True,UnitTestFailure,failed: ,3.219221740961075,2.8696366641670465,0.1174165103584528
SingleLineInfilling/HumanEval/147/L0,triggered_failed_long,best_simple_length_policy,ok,False,21,16,-5,ce2de851cbdc6da48ceb692da74bc2a47737dd41b600f99f88571886ab4ec8c9,True,UnitTestFailure,failed: ,3.373090489767492,2.8667714567855,0.16230984032154083
SingleLineInfilling/HumanEval/147/L0,triggered_failed_long,oracle_sufficient_canvas,ok,True,21,21,0,231679ab9618259b17033db724936e33316ee85084a91f015a138972bfaf779d,True,,,1.265674846014008,1.1521585960290395,0.11351624998496845
SingleLineInfilling/HumanEval/10/L5,triggered_failed_long,primary_control,ok,False,14,13,-1,e6092f599509fdd163abf313de04f405df1ebc7442cef2afbd863a8ca804ee1b,True,UnitTestFailure,failed: ,3.6234946362674236,3.2870826674625278,0.10132855735719204
SingleLineInfilling/HumanEval/10/L5,triggered_failed_long,best_simple_length_policy,ok,False,14,13,-1,e6092f599509fdd163abf313de04f405df1ebc7442cef2afbd863a8ca804ee1b,True,UnitTestFailure,failed: ,3.0693458234891295,2.6373665807768703,0.10660649184137583
SingleLineInfilling/HumanEval/10/L5,triggered_failed_long,oracle_sufficient_canvas,ok,True,14,14,0,4f93855da57c185ede19a14d11665607cecc1dd05277e38c4736ef3f7c56a9b4,True,,,1.2320254200021736,1.1378361950046383,0.09418922499753535
SingleLineInfilling/HumanEval/125/L5,medium_near_long_underselection,primary_control,ok,False,23,5,-18,67d81bf4b83ed16fa0282a19f2d4e636526aa643e484cc94050101930cf8510f,True,UnitTestFailure,failed: ,2.8480732440948486,2.4995947694405913,0.1321498267352581
SingleLineInfilling/HumanEval/125/L5,medium_near_long_underselection,best_simple_length_policy,ok,False,23,5,-18,67d81bf4b83ed16fa0282a19f2d4e636526aa643e484cc94050101930cf8510f,True,UnitTestFailure,failed: ,3.0651783337816596,2.4967784890905023,0.18769797682762146
SingleLineInfilling/HumanEval/125/L5,medium_near_long_underselection,oracle_sufficient_canvas,ok,False,23,23,0,a207c2643361d63d68692aa5977f2e7ce9369b22c9e80d3fb8d60817792b2c72,True,UnitTestFailure,failed: ,1.2509309270535596,1.1541078930022195,0.09682303405134007
SingleLineInfilling/HumanEval/93/L3,medium_near_long_underselection,primary_control,ok,False,22,9,-13,915d32c62cb2d7c3499fb67488d0f628b4b6004f9059549aebf0cb334a2224b1,True,UnitTestFailure,failed: This prints if this assert fails 1 (good for debugging!),2.8357681734487414,2.4420306449756026,0.17724839318543673
SingleLineInfilling/HumanEval/93/L3,medium_near_long_underselection,best_simple_length_policy,ok,False,22,9,-13,915d32c62cb2d7c3499fb67488d0f628b4b6004f9059549aebf0cb334a2224b1,True,UnitTestFailure,failed: This prints if this assert fails 1 (good for debugging!),2.9990297770127654,2.437210206873715,0.20699337776750326
SingleLineInfilling/HumanEval/93/L3,medium_near_long_underselection,oracle_sufficient_canvas,ok,True,22,22,0,d2843a54aaae98e21273ad901856e8b6e7ce9b4766ecbbd40716973e36507632,True,,,1.2440154619980603,1.1478448809939437,0.09617058100411668
SingleLineInfilling/HumanEval/136/L2,medium_near_long_underselection,primary_control,ok,False,21,11,-10,1c00a24a1bf525b8b753dbcc7472ae4e6cee4ca23158085d98f85bc5b4481ac8,True,UnitTestFailure,failed: max() arg is an empty sequence,2.8563262373209,2.5322209782898426,0.10933722741901875
SingleLineInfilling/HumanEval/136/L2,medium_near_long_underselection,best_simple_length_policy,ok,False,21,11,-10,1c00a24a1bf525b8b753dbcc7472ae4e6cee4ca23158085d98f85bc5b4481ac8,True,UnitTestFailure,failed: max() arg is an empty sequence,3.1317472560331225,2.529525090008974,0.16129862796515226
SingleLineInfilling/HumanEval/136/L2,medium_near_long_underselection,oracle_sufficient_canvas,ok,True,21,21,0,6e4b94446fb2b084c8361138d9597230465f54340a139729ebf5ec839c3f2410,True,,,1.2401826709974557,1.1444713089731522,0.09571136202430353
