task_id,oracle_length,oracle_bucket,true_long,short_risk,current_pass_risk,baseline_passed,baseline_failed_long,fold5,baseline_selected_len,baseline_best_len,baseline_best_long_len,baseline_best_score,baseline_best_long_score,baseline_long_ratio,baseline_raw_long_ratio,baseline_base_selected_length,baseline_final_selected_length,baseline_mean_top1_final,baseline_mean_gap_final,baseline_remaining_mask_ratio_final,baseline_best_long_minus_selected,baseline_selected_below_best_long,baseline_best_long_score_gap,baseline_long_ratio_gap_to_one,baseline_trace_steps,baseline_remaining_first,baseline_remaining_last,baseline_remaining_min,baseline_remaining_max,baseline_remaining_median,baseline_remaining_slope,baseline_remaining_late_slope,baseline_remaining_auc_norm,baseline_remaining_equal_transition_frac,baseline_late_remaining_plateau_steps,baseline_max_remaining_plateau_steps,baseline_last_remaining_decrease_step,baseline_confidence_first,baseline_confidence_last,baseline_confidence_min,baseline_confidence_max,baseline_confidence_median,baseline_confidence_slope,baseline_confidence_late_slope,baseline_gap_last,baseline_gap_min,baseline_gap_median,baseline_top1_last,baseline_top1_min,baseline_top1_median,baseline_final_remaining_ratio_by_selected,baseline_stop_reason,precision_len32_triggered,precision_len32_selected_len,precision_len32_primary_selected_len,precision_len32_rescue_len,precision_len32_final_source,precision_len32_primary_stop_reason,precision_len32_trace_top1_last,precision_len32_trace_top1_median,precision_len32_trace_confidence_max,precision_len32_trace_max_remaining_plateau_steps,precision_len32_combined_total_sec_including_probe,precision_len32_passed,precision_len32_pairwise,precision_len32_win,precision_len32_loss,missed_failed_long_precision_len32,triggered_rescue_failure_precision_len32,rescued_long_precision_len32,precision_len24_triggered,precision_len24_selected_len,precision_len24_primary_selected_len,precision_len24_rescue_len,precision_len24_final_source,precision_len24_primary_stop_reason,precision_len24_trace_top1_last,precision_len24_trace_top1_median,precision_len24_trace_confidence_max,precision_len24_trace_max_remaining_plateau_steps,precision_len24_combined_total_sec_including_probe,precision_len24_passed,precision_len24_pairwise,precision_len24_win,precision_len24_loss,missed_failed_long_precision_len24,triggered_rescue_failure_precision_len24,rescued_long_precision_len24,broad_len24_triggered,broad_len24_selected_len,broad_len24_primary_selected_len,broad_len24_rescue_len,broad_len24_final_source,broad_len24_primary_stop_reason,broad_len24_trace_top1_last,broad_len24_trace_top1_median,broad_len24_trace_confidence_max,broad_len24_trace_max_remaining_plateau_steps,broad_len24_combined_total_sec_including_probe,broad_len24_passed,broad_len24_pairwise,broad_len24_win,broad_len24_loss,missed_failed_long_broad_len24,triggered_rescue_failure_broad_len24,rescued_long_broad_len24
SingleLineInfilling/HumanEval/65/L4,19,17-24,True,False,False,False,True,3,3,3.0,14.0,0.9054136629161761,0.510272994163719,0.5635799580494738,0.5138248847926268,3.0,3.0,0.9609375,0.953125,0.3333333333333333,11.0,True,0.3951406687524571,0.4364200419505262,33,3.0,1.0,1.0,3.0,2.0,-0.0625,-0.3333333333333333,0.7575757575757576,0.9375,2,21,32,0.84765625,0.76171875,0.76171875,0.84765625,0.76171875,-0.002685546875,0.0,0.546875,0.546875,0.546875,0.6484375,0.6484375,0.6484375,0.3333333333333333,global_gap_early_commit,False,3,3,,primary,global_gap_early_commit,0.6484375,0.6484375,0.84765625,21.0,2.4745648885145783,False,tie_fail,False,False,True,False,False,False,3,3,,primary,global_gap_early_commit,0.6484375,0.6484375,0.84765625,21.0,2.4591778656467795,False,tie_fail,False,False,True,False,False,True,24,3,24,rescue,global_gap_early_commit,0.6484375,0.6484375,0.84765625,21.0,5.650556502863765,False,tie_fail,False,False,False,True,False
SingleLineInfilling/HumanEval/66/L0,10,9-12,False,False,True,True,False,0,4,4.0,13.0,0.8957072499726494,0.46700389332977077,0.5213800528510077,0.48578199052132703,4.0,4.0,0.6796875,0.6171875,0.5,9.0,True,0.4287033566428786,0.47861994714899225,28,4.0,2.0,2.0,4.0,3.0,-0.07407407407407407,0.0,0.7767857142857143,0.9259259259259259,3,14,23,0.82421875,0.83984375,0.82421875,0.83984375,0.82421875,0.0005787037037037037,0.0,0.6171875,0.6171875,0.71875,0.6796875,0.6796875,0.765625,0.5,global_gap_early_commit,False,4,4,,primary,global_gap_early_commit,0.6796875,0.765625,0.83984375,14.0,2.694434329867363,True,tie_pass,False,False,False,False,False,False,4,4,,primary,global_gap_early_commit,0.6796875,0.765625,0.83984375,14.0,2.6359163960441947,True,tie_pass,False,False,False,False,False,False,4,4,,primary,global_gap_early_commit,0.6796875,0.765625,0.83984375,14.0,2.758288888260722,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/66/L1,21,17-24,True,False,False,False,True,1,3,3.0,13.0,0.4860861370033848,0.29045364097339404,0.5975353314208414,0.5472103004291845,3.0,3.0,,,0.0,10.0,True,0.19563249602999078,0.40246466857915864,54,3.0,0.0,0.0,3.0,2.0,-0.05660377358490566,-0.3333333333333333,0.5864197530864198,0.9433962264150944,2,21,53,0.455078125,0.7109375,0.455078125,0.7109375,0.515625,0.004827535377358491,0.0,0.044921875,0.044921875,0.1318359375,0.1435546875,0.1435546875,0.2734375,0.0,no_remaining_masks,True,32,3,32,rescue,no_remaining_masks,0.1435546875,0.2734375,0.7109375,21.0,6.88640377856791,True,win,True,False,False,False,True,True,24,3,24,rescue,no_remaining_masks,0.1435546875,0.2734375,0.7109375,21.0,6.574158161878586,False,tie_fail,False,False,False,True,False,True,24,3,24,rescue,no_remaining_masks,0.1435546875,0.2734375,0.7109375,21.0,6.7038182923570275,False,tie_fail,False,False,False,True,False
SingleLineInfilling/HumanEval/67/L0,6,<=8,False,True,True,True,False,3,4,4.0,13.0,1.086734862526058,0.5376239942723214,0.4947149602090088,0.4609375,4.0,4.0,1.0,1.0,0.5,9.0,True,0.5491108682537366,0.5052850397909912,28,4.0,2.0,2.0,4.0,3.0,-0.07407407407407407,0.0,0.7767857142857143,0.9259259259259259,3,14,23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,global_gap_early_commit,False,4,4,,primary,global_gap_early_commit,1.0,1.0,1.0,14.0,4.784531017765403,True,tie_pass,False,False,False,False,False,False,4,4,,primary,global_gap_early_commit,1.0,1.0,1.0,14.0,4.713786854408681,True,tie_pass,False,False,False,False,False,False,4,4,,primary,global_gap_early_commit,1.0,1.0,1.0,14.0,4.67557530477643,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/67/L1,10,9-12,False,False,False,False,False,1,7,7.0,14.0,1.1238436146785018,0.9518993971843368,0.8470034306834113,0.8125,7.0,7.0,1.0,1.0,0.5714285714285714,7.0,True,0.171944217494165,0.15299656931658867,28,7.0,4.0,4.0,7.0,5.0,-0.1111111111111111,0.0,0.7704081632653061,0.8888888888888888,3,8,22,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99609375,0.998046875,1.0,1.0,1.0,0.5714285714285714,global_gap_early_commit,False,7,7,,primary,global_gap_early_commit,1.0,1.0,1.0,8.0,4.318360541947186,False,tie_fail,False,False,False,False,False,False,7,7,,primary,global_gap_early_commit,1.0,1.0,1.0,8.0,4.307956904172897,False,tie_fail,False,False,False,False,False,False,7,7,,primary,global_gap_early_commit,1.0,1.0,1.0,8.0,4.2598498146981,False,tie_fail,False,False,False,False,False
SingleLineInfilling/HumanEval/67/L2,7,<=8,False,True,True,True,False,1,7,5.0,13.0,1.0798711942047083,0.5262336554106197,0.4873115036633369,0.4547244094488189,5.0,7.0,0.84375,0.75,0.5714285714285714,6.0,True,0.5536375387940886,0.5126884963366631,28,7.0,4.0,4.0,7.0,5.0,-0.1111111111111111,0.0,0.7704081632653061,0.8888888888888888,3,8,22,0.9375,0.91015625,0.91015625,0.9375,0.935546875,-0.0010127314814814814,0.0,0.75,0.75,0.87109375,0.84375,0.84375,0.91796875,0.5714285714285714,global_gap_early_commit,False,7,7,,primary,global_gap_early_commit,0.84375,0.91796875,0.9375,8.0,4.412511132657528,True,tie_pass,False,False,False,False,False,False,7,7,,primary,global_gap_early_commit,0.84375,0.91796875,0.9375,8.0,4.359938363544643,True,tie_pass,False,False,False,False,False,False,7,7,,primary,global_gap_early_commit,0.84375,0.91796875,0.9375,8.0,4.37849872931838,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/67/L3,7,<=8,False,True,True,True,False,2,7,7.0,14.0,1.119453600558664,0.7688418208027336,0.6868009718482683,0.6588235294117647,7.0,7.0,0.9921875,0.9921875,0.5714285714285714,7.0,True,0.3506117797559304,0.31319902815173173,28,7.0,4.0,4.0,7.0,5.0,-0.1111111111111111,0.0,0.7704081632653061,0.8888888888888888,3,8,22,0.99609375,0.99609375,0.99609375,0.99609375,0.99609375,0.0,0.0,0.9921875,0.9921875,0.99609375,0.9921875,0.9921875,0.99609375,0.5714285714285714,global_gap_early_commit,False,7,7,,primary,global_gap_early_commit,0.9921875,0.99609375,0.99609375,8.0,4.390955146402121,True,tie_pass,False,False,False,False,False,False,7,7,,primary,global_gap_early_commit,0.9921875,0.99609375,0.99609375,8.0,4.342765285633504,True,tie_pass,False,False,False,False,False,False,7,7,,primary,global_gap_early_commit,0.9921875,0.99609375,0.99609375,8.0,4.263858704827726,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/67/L4,9,9-12,False,False,False,False,False,4,3,3.0,13.0,0.42558614570253434,0.21072126894148194,0.49513188121675056,0.4534313725490196,3.0,3.0,0.76171875,0.64453125,0.3333333333333333,10.0,True,0.2148648767610524,0.5048681187832494,33,3.0,1.0,1.0,3.0,2.0,-0.0625,-0.3333333333333333,0.7575757575757576,0.9375,2,21,32,0.3984375,0.55078125,0.3984375,0.55078125,0.55078125,0.0047607421875,0.0,0.248046875,0.2099609375,0.248046875,0.33203125,0.33203125,0.33203125,0.3333333333333333,global_gap_early_commit,True,32,3,32,rescue,global_gap_early_commit,0.33203125,0.33203125,0.55078125,21.0,9.293549611233175,True,win,True,False,False,False,False,True,24,3,24,rescue,global_gap_early_commit,0.33203125,0.33203125,0.55078125,21.0,9.423737852834165,True,win,True,False,False,False,False,True,24,3,24,rescue,global_gap_early_commit,0.33203125,0.33203125,0.55078125,21.0,9.505888405255973,True,win,True,False,False,False,False
SingleLineInfilling/HumanEval/68/L0,12,9-12,False,False,True,True,False,0,9,9.0,13.0,1.0384139320556152,0.448779351151048,0.4321777061124911,0.4227467811158798,9.0,9.0,0.9453125,0.8984375,0.3333333333333333,4.0,True,0.5896345809045671,0.5678222938875088,40,9.0,3.0,3.0,9.0,6.0,-0.15384615384615385,-0.3333333333333333,0.6777777777777778,0.8461538461538461,2,7,39,0.91015625,0.96484375,0.91015625,0.96484375,0.95703125,0.0014022435897435897,0.0,0.84375,0.84375,0.875,0.91796875,0.91015625,0.91796875,0.3333333333333333,global_gap_early_commit,False,9,9,,primary,global_gap_early_commit,0.91796875,0.91796875,0.96484375,7.0,6.62905253097415,True,tie_pass,False,False,False,False,False,False,9,9,,primary,global_gap_early_commit,0.91796875,0.91796875,0.96484375,7.0,6.439639123156667,True,tie_pass,False,False,False,False,False,False,9,9,,primary,global_gap_early_commit,0.91796875,0.91796875,0.96484375,7.0,6.503691832534969,True,tie_pass,False,False,False,False,False
SingleLineInfilling/HumanEval/68/L1,19,17-24,True,False,True,True,False,0,20,20.0,20.0,1.037946117845174,1.037946117845174,1.0,1.0,20.0,20.0,1.0,1.0,0.1,0.0,False,0.0,0.0,56,20.0,2.0,2.0,20.0,11.0,-0.32727272727272727,-0.3333333333333333,0.5544642857142857,0.6727272727272727,2,3,55,0.8671875,0.90234375,0.859375,0.90234375,0.89453125,0.0006392045454545455,0.0,0.06787109375,0.06787109375,0.73046875,0.357421875,0.357421875,0.814453125,0.1,global_gap_early_commit,False,20,20,,primary,global_gap_early_commit,0.357421875,0.814453125,0.90234375,3.0,7.8816660437732935,True,tie_pass,False,False,False,False,False,False,20,20,,primary,global_gap_early_commit,0.357421875,0.814453125,0.90234375,3.0,7.840403338894248,True,tie_pass,False,False,False,False,False,False,20,20,,primary,global_gap_early_commit,0.357421875,0.814453125,0.90234375,3.0,7.976976807229221,True,tie_pass,False,False,False,False,False
