oracle_bucket,count,wins,losses,net,base_pass_rate,candidate_pass_rate
<=8,598,9,15,-6,0.9147157190635451,0.9046822742474916
9-12,232,2,2,0,0.8318965517241379,0.8318965517241379
13-16,90,3,0,3,0.6444444444444445,0.6777777777777778
17-24,82,3,0,3,0.18292682926829268,0.21951219512195122
25+,31,1,0,1,0.12903225806451613,0.16129032258064516
