candidate_key,row_key,canvas_tokens,seed,deployable_proxy_prefix_only,deployable_proxy_suffix_only,deployable_proxy_token_canvas,deployable_proxy_ordinary_confidence,deployable_proxy_combined
HumanEval-RandomSpanInfillingLight:19:c83d0aaf6ba63d05|deployable_grid|canvas=64|seed=1,HumanEval-RandomSpanInfillingLight:19:c83d0aaf6ba63d05,64.0,1,0.05,0.39999999999999997,1.0,0.984375,0.2334375
HumanEval-RandomSpanInfillingLight:19:c83d0aaf6ba63d05|deployable_grid|canvas=128|seed=0,HumanEval-RandomSpanInfillingLight:19:c83d0aaf6ba63d05,128.0,0,0.05,0.39999999999999997,1.0,0.97265625,0.23226562499999998
HumanEval-RandomSpanInfillingLight:19:c83d0aaf6ba63d05|deployable_grid|canvas=128|seed=1,HumanEval-RandomSpanInfillingLight:19:c83d0aaf6ba63d05,128.0,1,0.05,0.39999999999999997,1.0,0.97265625,0.23226562499999998
HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248|deployable_grid|canvas=16|seed=0,HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248,16.0,0,0.05,0.6666666666666666,1.0,0.9921875,0.31421875
HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248|deployable_grid|canvas=16|seed=1,HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248,16.0,1,0.05,0.6666666666666666,1.0,0.9921875,0.31421875
HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248|deployable_grid|canvas=32|seed=0,HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248,32.0,0,0.05,0.39999999999999997,1.0,0.98828125,0.233828125
HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248|deployable_grid|canvas=32|seed=1,HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248,32.0,1,0.05,0.39999999999999997,1.0,0.98828125,0.233828125
HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248|deployable_grid|canvas=64|seed=0,HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248,64.0,0,0.05,0.39999999999999997,1.0,0.9765625,0.43265624999999996
HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248|deployable_grid|canvas=64|seed=1,HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248,64.0,1,0.05,0.39999999999999997,1.0,0.9765625,0.43265624999999996
HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248|deployable_grid|canvas=128|seed=0,HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248,128.0,0,0.4458333333333333,0.39999999999999997,1.0,0.98046875,0.551796875
HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248|deployable_grid|canvas=128|seed=1,HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248,128.0,1,0.4458333333333333,0.39999999999999997,1.0,0.98046875,0.551796875
HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef|deployable_grid|canvas=16|seed=0,HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef,16.0,0,0.5208333333333334,0.5,1.0,0.9921875,0.6054687500000001
HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef|deployable_grid|canvas=16|seed=1,HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef,16.0,1,0.5208333333333334,0.5,1.0,0.9921875,0.6054687500000001
HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef|deployable_grid|canvas=32|seed=0,HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef,32.0,0,0.05,0.06666666666666667,1.0,0.9921875,0.13421875
HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef|deployable_grid|canvas=32|seed=1,HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef,32.0,1,0.05,0.06666666666666667,1.0,0.9921875,0.13421875
HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef|deployable_grid|canvas=64|seed=0,HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef,64.0,0,0.05,0.39999999999999997,1.0,0.9765625,0.43265624999999996
HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef|deployable_grid|canvas=64|seed=1,HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef,64.0,1,0.05,0.39999999999999997,1.0,0.9765625,0.43265624999999996
HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef|deployable_grid|canvas=128|seed=0,HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef,128.0,0,0.0625,0.06666666666666667,1.0,0.9609375,0.13484375
HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef|deployable_grid|canvas=128|seed=1,HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef,128.0,1,0.0625,0.06666666666666667,1.0,0.9609375,0.13484375
HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612|deployable_grid|canvas=16|seed=0,HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612,16.0,0,0.4583333333333333,0.5,1.0,0.99609375,0.587109375
HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612|deployable_grid|canvas=16|seed=1,HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612,16.0,1,0.4583333333333333,0.5,1.0,0.99609375,0.587109375
HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612|deployable_grid|canvas=32|seed=0,HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612,32.0,0,0.4583333333333333,0.39999999999999997,1.0,0.99609375,0.557109375
HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612|deployable_grid|canvas=32|seed=1,HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612,32.0,1,0.4583333333333333,0.39999999999999997,1.0,0.99609375,0.557109375
HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612|deployable_grid|canvas=64|seed=0,HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612,64.0,0,0.0625,0.39999999999999997,1.0,0.9921875,0.23796875
HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612|deployable_grid|canvas=64|seed=1,HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612,64.0,1,0.0625,0.39999999999999997,1.0,0.9921875,0.23796875
HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612|deployable_grid|canvas=128|seed=0,HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612,128.0,0,0.47916666666666663,0.39999999999999997,1.0,0.99609375,0.563359375
HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612|deployable_grid|canvas=128|seed=1,HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612,128.0,1,0.47916666666666663,0.39999999999999997,1.0,0.99609375,0.563359375
HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a|deployable_grid|canvas=16|seed=0,HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a,16.0,0,0.44791666666666663,0.5,1.0,0.98828125,0.583203125
HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a|deployable_grid|canvas=16|seed=1,HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a,16.0,1,0.44791666666666663,0.5,1.0,0.98828125,0.583203125
HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a|deployable_grid|canvas=32|seed=0,HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a,32.0,0,0.44791666666666663,0.5,1.0,0.98828125,0.583203125
HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a|deployable_grid|canvas=32|seed=1,HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a,32.0,1,0.44791666666666663,0.5,1.0,0.98828125,0.583203125
HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a|deployable_grid|canvas=64|seed=0,HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a,64.0,0,0.6145833333333333,0.3703703703703704,1.0,0.9765625,0.6264756944444445
HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a|deployable_grid|canvas=64|seed=1,HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a,64.0,1,0.6145833333333333,0.3703703703703704,1.0,0.9765625,0.6264756944444445
HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a|deployable_grid|canvas=128|seed=0,HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a,128.0,0,0.5889423076923077,0.3703703703703704,1.0,0.984375,0.6528979700854702
HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a|deployable_grid|canvas=128|seed=1,HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a,128.0,1,0.5889423076923077,0.3703703703703704,1.0,0.984375,0.6528979700854702
HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf|deployable_grid|canvas=16|seed=0,HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf,16.0,0,0.05,0.5,1.0,0.99609375,0.464609375
HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf|deployable_grid|canvas=16|seed=1,HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf,16.0,1,0.05,0.5,1.0,0.99609375,0.464609375
HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf|deployable_grid|canvas=32|seed=0,HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf,32.0,0,0.7291666666666666,0.4166666666666667,1.0,1.0,0.6437499999999999
HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf|deployable_grid|canvas=32|seed=1,HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf,32.0,1,0.7291666666666666,0.4166666666666667,1.0,1.0,0.6437499999999999
HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf|deployable_grid|canvas=64|seed=0,HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf,64.0,0,0.7291666666666666,0.4166666666666667,1.0,0.98828125,0.642578125
HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf|deployable_grid|canvas=64|seed=1,HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf,64.0,1,0.7291666666666666,0.4166666666666667,1.0,0.98828125,0.642578125
