score_family,score_key,global_auc_secondary,global_auc_ci_low,global_auc_ci_high,within_task_pairwise_accuracy,within_task_ci_low,within_task_ci_high,cross_canvas_pairwise_accuracy_primary,cross_canvas_ci_low,cross_canvas_ci_high
prefix_only,deployable_proxy_prefix_only,0.5896103896103896,0.530525247565928,0.6497679622990244,0.5940959409594095,0.47353629375348416,0.6992780385494057,0.5940959409594095,0.47353629375348416,0.6992780385494057
suffix_only,deployable_proxy_suffix_only,0.5236675892413597,0.4598228420377016,0.5843601555421487,0.5055350553505535,0.40344268864047345,0.6204863725736279,0.5055350553505535,0.40344268864047345,0.6204863725736279
token_canvas,deployable_proxy_token_canvas,0.5009580583351075,0.48627771186557595,0.5114429627291617,0.5018450184501845,0.48367011001931637,0.5231965309053911,0.5018450184501845,0.48367011001931637,0.5231965309053911
ordinary_confidence,deployable_proxy_ordinary_confidence,0.5118870200837414,0.4630011355404718,0.562882856815035,0.4944649446494465,0.3754705598455599,0.620440713342384,0.4944649446494465,0.3754705598455599,0.620440713342384
combined,deployable_proxy_combined,0.5843942942303598,0.5196682840392675,0.6471713631828734,0.6273062730627307,0.4989794209055657,0.7366025936772846,0.6273062730627307,0.4989794209055657,0.7366025936772846
