feature_family,within_task_pairwise_accuracy,within_task_pairwise_ci_low,within_task_pairwise_ci_high,cross_canvas_pairwise_accuracy,cross_canvas_pairwise_ci_low,cross_canvas_pairwise_ci_high
prefix_only,0.5940959409594095,0.47353629375348416,0.6992780385494057,0.5940959409594095,0.47353629375348416,0.6992780385494057
suffix_only,0.5055350553505535,0.40344268864047345,0.6204863725736279,0.5055350553505535,0.40344268864047345,0.6204863725736279
token_canvas,0.5018450184501845,0.48367011001931637,0.5231965309053911,0.5018450184501845,0.48367011001931637,0.5231965309053911
ordinary_confidence,0.4944649446494465,0.3754705598455599,0.620440713342384,0.4944649446494465,0.3754705598455599,0.620440713342384
combined,0.6273062730627307,0.4989794209055657,0.7366025936772846,0.6273062730627307,0.4989794209055657,0.7366025936772846
