method_a,method_b,task_macro_delta,task_macro_ci_low,task_macro_ci_high,task_group_count,wins,losses,ties,span_help,span_harm,group_label_swap_two_sided_p,permutation_replicates,permutation_seed
ordinary_confidence_best_of_grid,fixed64_seed0,-0.0620242347956374,-0.09468509532511253,-0.029115484863461567,148,25,73,50,428,1006,0.00019998000199980003,10000,20261806
phase5_prefix_only_deterministic_proxy,fixed64_seed0,0.019068994535914725,-0.016046209817852194,0.05788211112867862,148,43,55,50,479,674,0.3300669933006699,10000,20261807
phase5_combined_deterministic_proxy,fixed64_seed0,0.053074372401502576,0.014091936960551504,0.09627215920462828,148,50,51,47,530,579,0.011998800119988001,10000,20261808
fixed_score_only_abductive_selector,fixed64_seed0,0.0199615758902002,-0.015320202624874341,0.05920688083639019,148,43,56,49,555,782,0.29827017298270175,10000,20261809
best_of_8_oracle_ceiling_offline_only,fixed64_seed0,0.22243733947361616,0.18841041466401112,0.2588639482241623,148,116,0,32,1104,0,9.999000099990002e-05,10000,20261810
