policy_a,policy_b,macro_delta,macro_delta_ci_low,macro_delta_ci_high,task_group_count,wins,losses,ties,net,exact_sign_test_two_sided_p,label_swap_two_sided_p
best_deployable_cal_lite_alpha006,control_fixed64,-0.08004828840945188,-0.09720378262139005,-0.0627388044168529,148,38,97,13,-59,3.957630638799941e-07,9.999000099990002e-05
oracle_sufficient_canvas,control_fixed64,0.10915859851984733,0.08809741092888602,0.13049947298648196,148,106,28,14,78,7.055225473235017e-12,9.999000099990002e-05
oracle_sufficient_canvas,best_deployable_cal_lite_alpha006,0.1892068869292992,0.16844128412370243,0.20994934666235063,148,124,10,14,114,3.6370082549903253e-26,9.999000099990002e-05
