run,scope,rows,old_pass_count,h200_pass_count,pass_delta_h200_minus_old,h200_wins,h200_losses,tie_pass,tie_fail,outcome_agreement_rate,candidate_hash_agreement_rate,selected_length_agreement_rate,selected_length_mean_delta,selected_length_mean_abs_delta,trigger_agreement_rate,old_triggered_count,h200_triggered_count,trigger_delta_h200_minus_old,final_source_agreement_rate
control,overall_all_1033,1033,787,787,0,4,4,783,242,0.9922555663117134,0.9622458857696031,0.972894482090997,-0.002904162633107454,0.1345595353339787,0.9845111326234269,182,182,0,0.9845111326234269
midcons,overall_all_1033,1033,795,794,-1,4,5,790,234,0.9912875121006777,0.9612778315585673,0.9719264278799613,0.005808325266214908,0.15295256534365925,0.9796708615682478,205,206,1,0.978702807357212
route2,overall_all_1033,1033,801,795,-6,3,9,792,229,0.9883833494675702,0.9554695062923524,0.9699903194578896,0.03388189738625363,0.20232333010648595,0.978702807357212,262,264,2,0.9767666989351403
v6,overall_all_1033,1033,802,796,-6,3,9,793,228,0.9883833494675702,0.9554695062923524,0.9699903194578896,0.03388189738625363,0.20232333010648595,0.978702807357212,262,264,2,0.9767666989351403
cal,overall_all_1033,1033,774,769,-5,4,9,765,255,0.9874152952565344,0.9612778315585673,0.9690222652468539,-0.015488867376573089,0.1510164569215876,1.0,0,0,0,1.0
