family,family_display,feature_variant,k,interventions,wins,losses,net,pass_count,pass_rate,population_harm,population_harm_upper95,population_harm_wilson_upper95,conditional_harm,conditional_harm_upper95,short_bucket_losses,missed_long_wins,selected_canvas_distribution,average_cost,topk_oracle_win_hits,exploratory_gate_passed,frozen_test_gate_passed
two_stage_rejector,Family B,probe_only,15,15,1,0,1,90,0.7086614173228346,0.0,0.023312410428213137,0.02936069262375269,0.0,0.18103627252208473,0,0,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 6, '15': 1, '16': 19, '3': 8, '4': 11, '5': 12, '6': 14, '7': 23, '8': 10, '9': 7}",0.84372912195381,4,True,False
two_stage_rejector,Family B,probe_only,20,20,2,4,-2,87,0.6850393700787402,0.031496062992125984,0.07062223955314123,0.0781885252981719,0.2,0.4010281173319747,2,1,"{'10': 2, '11': 8, '12': 2, '13': 2, '14': 5, '15': 1, '16': 24, '3': 7, '4': 10, '5': 12, '6': 14, '7': 23, '8': 10, '9': 7}",0.8538278614983923,5,False,False
two_stage_rejector,Family B,probe_only,30,30,2,7,-5,84,0.6614173228346457,0.05511811023622047,0.10103176743831427,0.10940786984987524,0.23333333333333334,0.3939474225223633,4,1,"{'10': 2, '11': 8, '12': 2, '13': 2, '14': 4, '16': 30, '3': 7, '4': 10, '5': 11, '6': 14, '7': 22, '8': 9, '9': 6}",0.8645325419965098,5,False,False
two_stage_rejector,Family B,probe_only,40,40,4,8,-4,85,0.6692913385826772,0.06299212598425197,0.11078667439790986,0.11938465794017394,0.2,0.33202774505858634,4,2,"{'10': 1, '11': 7, '12': 1, '13': 2, '16': 40, '3': 7, '4': 10, '5': 10, '6': 14, '7': 22, '8': 9, '9': 4}",0.8844474258119475,8,False,False
two_stage_rejector,Family B,probe_only,60,60,6,13,-7,82,0.6456692913385826,0.10236220472440945,0.15781210308938584,0.16727327009734946,0.21666666666666667,0.32224279575842696,7,2,"{'10': 1, '11': 4, '12': 1, '16': 60, '3': 7, '4': 10, '5': 9, '6': 12, '7': 14, '8': 7, '9': 2}",0.9485843863473897,12,False,False
two_stage_rejector,Family B,probe_trace_fused,5,5,1,1,0,89,0.7007874015748031,0.007874015748031496,0.036807182572575155,0.04325507477639201,0.2,0.6574083180011387,1,1,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 5, '15': 1, '16': 10, '3': 17, '4': 12, '5': 12, '6': 14, '7': 23, '8': 10, '9': 7}",0.8386310579930799,2,False,False
two_stage_rejector,Family B,probe_trace_fused,10,10,2,2,0,89,0.7007874015748031,0.015748031496062992,0.048741388070404686,0.05560274410931069,0.2,0.5069013010632024,1,1,"{'10': 2, '11': 8, '12': 3, '13': 2, '14': 5, '15': 1, '16': 15, '3': 14, '4': 12, '5': 11, '6': 14, '7': 23, '8': 10, '9': 7}",0.8409277520946403,3,False,False
two_stage_rejector,Family B,probe_trace_fused,15,15,3,2,1,90,0.7086614173228346,0.015748031496062992,0.048741388070404686,0.05560274410931069,0.13333333333333333,0.3634417655414021,1,1,"{'10': 2, '11': 8, '12': 3, '13': 2, '14': 5, '15': 1, '16': 19, '3': 12, '4': 11, '5': 11, '6': 14, '7': 22, '8': 10, '9': 7}",0.8509718664499242,7,False,False
two_stage_rejector,Family B,probe_trace_fused,20,20,3,2,1,90,0.7086614173228346,0.015748031496062992,0.048741388070404686,0.05560274410931069,0.1,0.2826185248858609,1,1,"{'10': 2, '11': 7, '12': 3, '13': 2, '14': 5, '15': 1, '16': 24, '3': 9, '4': 11, '5': 11, '6': 14, '7': 21, '8': 10, '9': 7}",0.860889769914582,7,False,False
two_stage_rejector,Family B,probe_trace_fused,30,30,5,5,0,89,0.7007874015748031,0.03937007874015748,0.08099335992741102,0.08885743677346422,0.16666666666666666,0.31897118194731505,2,1,"{'10': 2, '11': 6, '12': 3, '13': 2, '14': 5, '15': 1, '16': 34, '3': 7, '4': 11, '5': 10, '6': 14, '7': 16, '8': 10, '9': 6}",0.8930947506464798,10,False,False
