control,wins,losses,both_pass,both_fail,net_wins,mcnemar_exact_p,row_delta,row_ci_low,row_ci_high,cluster_ci_low,cluster_ci_high,task_macro_delta,compile_help,compile_harm
a_v3_budgeted_posthoc_full,15,16,265,346,-1,1,-0.0015576324,-0.0186915888,0.0155763240,-0.0260338901,0.0208644413,0.0129410842,6,73
one_shot,94,115,186,247,-21,0.1663794203,-0.0327102804,-0.0763239875,0.0109034268,-0.0858433735,0.0236612952,-0.0148965910,2,169
v1_progressive,66,102,214,260,-36,0.006751369163,-0.0560747664,-0.0965732087,-0.0171339564,-0.1017228303,-0.0102558480,-0.0399581431,33,147
v2_hard_v1_multifactor,274,1,6,361,273,9.092645726e-81,0.4252336449,0.3878504673,0.4641744548,0.3700891331,0.4832741832,0.4105243028,437,12
