source_config,cases,control_fixed64_pass,control_fixed64_rate,best_deployable_cal_lite_pass,best_deployable_cal_lite_rate,oracle_sufficient_canvas_pass,oracle_sufficient_canvas_rate,oracle_gain_vs_control_cases,oracle_gain_vs_control_rate,deployable_help_vs_control_cases,deployable_help_vs_control_rate,deployable_harm_vs_control_cases,deployable_harm_vs_control_rate,oracle_harm_vs_control_cases,oracle_harm_vs_control_rate,rescue_limited_or_noncanvas_cases,rescue_limited_or_noncanvas_rate
ALL,6707,2019,0.3010287759057701,1464,0.21827940957208886,3180,0.47413150439838975,1633,0.2434769643655882,620,0.0924407335619502,1175,0.17519009989563142,472,0.07037423587296854,3055,0.4554942597286417
HumanEval-MultiLineInfilling,5079,1597,0.31443197479818863,1206,0.23744831659775548,2761,0.5436109470368182,1412,0.2780074817877535,513,0.10100413467217956,904,0.1779877928726127,248,0.04882850954912384,2070,0.4075605434140579
HumanEval-RandomSpanInfilling,1480,384,0.2594594594594595,227,0.15337837837837837,346,0.23378378378378378,172,0.11621621621621622,87,0.05878378378378379,244,0.16486486486486487,210,0.14189189189189189,924,0.6243243243243243
HumanEval-RandomSpanInfillingLight,148,38,0.25675675675675674,31,0.20945945945945946,73,0.49324324324324326,49,0.3310810810810811,20,0.13513513513513514,27,0.18243243243243243,14,0.0945945945945946,61,0.41216216216216217
