length_bucket,cases,control_fixed64_pass,control_fixed64_rate,best_deployable_cal_lite_pass,best_deployable_cal_lite_rate,oracle_sufficient_canvas_pass,oracle_sufficient_canvas_rate,oracle_gain_vs_control_cases,oracle_gain_vs_control_rate,deployable_help_vs_control_cases,deployable_help_vs_control_rate,deployable_harm_vs_control_cases,deployable_harm_vs_control_rate,oracle_harm_vs_control_cases,oracle_harm_vs_control_rate,rescue_limited_or_noncanvas_cases,rescue_limited_or_noncanvas_rate
empty_reference,11,9,0.8181818181818182,8,0.7272727272727273,11,1.0,2,0.18181818181818182,1,0.09090909090909091,2,0.18181818181818182,0,0.0,0,0.0
extreme,3710,856,0.2307277628032345,92,0.024797843665768194,1286,0.34663072776280324,678,0.18274932614555256,24,0.00646900269541779,788,0.21239892183288409,248,0.06684636118598383,2176,0.5865229110512129
long,821,276,0.33617539585870887,167,0.20341047503045068,495,0.6029232643118149,272,0.3313032886723508,72,0.0876979293544458,181,0.220462850182704,53,0.06455542021924482,273,0.3325213154689403
medium,1040,372,0.3576923076923077,536,0.5153846153846153,695,0.6682692307692307,377,0.3625,253,0.24326923076923077,89,0.08557692307692308,54,0.051923076923076926,291,0.2798076923076923
short,1125,506,0.4497777777777778,661,0.5875555555555556,693,0.616,304,0.2702222222222222,270,0.24,115,0.10222222222222223,117,0.104,315,0.28
