oracle_bucket,count,wins,losses,net,base_pass_rate,candidate_pass_rate
<=8,598,1,1,0,0.8929765886287625,0.8929765886287625
9-12,232,2,0,2,0.7758620689655172,0.7844827586206896
13-16,90,4,0,4,0.5444444444444444,0.5888888888888889
17-24,82,0,0,0,0.2073170731707317,0.2073170731707317
25+,31,0,0,0,0.16129032258064516,0.16129032258064516
