method_a,method_b,paired_candidate_key_count,cluster_count,task_macro_delta,task_macro_delta_ci_low,task_macro_delta_ci_high,row_help,row_harm,cluster_help,cluster_harm,cluster_tie,bootstrap_replicates,bootstrap_seed
official_cal_primary,official_fixed32,838,143,0.018979764765557915,-0.022331517524515315,0.05759134804589349,130,96,47,31,65,10000,20260831
official_cal_primary,project_fixed64_internal,838,143,0.017091381505257117,-0.022374120430340528,0.0554455978196547,151,113,45,32,66,10000,20260832
