method,row_count,cluster_count,row_pass_at_1,equal_weight_task_macro_pass_at_1,task_macro_ci_low,task_macro_ci_high,bootstrap_replicates,bootstrap_seed,total_search_forward_calls,mean_search_forward_calls,total_decode_forward_calls,mean_decode_forward_calls,total_forward_calls,mean_total_forward_calls,total_token_forwards,mean_token_forwards,total_wall_sec,mean_wall_sec,peak_gpu_memory_bytes
dreamon_dynamic_min32_max64,927,148,0.912621359223301,0.8303718147468147,0.7768901521245271,0.8784289839758589,10000,20260731,0.0,0.0,14318.0,15.445523193096008,14318.0,15.445523193096008,4041982.0,4360.28263214671,1718.3973947296618,1.853718872416032,24018886656.0
dreamcoder_fixed32_dreamon_decoder,927,148,0.6321467098166127,0.639771043718412,0.5886592571748818,0.6908820932258429,10000,20260732,0.0,0.0,29457.0,31.776699029126213,29457.0,31.776699029126213,7490056.0,8079.887810140237,2936.3541866635205,3.1675881193781237,23576967680.0
