method,rows,passed,pass_rate,compile_passed,compile_rate,exact_matches,exact_rate,task_macro_pass_rate
one_shot,642,301,0.4688473520249221,638,0.9937694704049844,83,0.1292834890965732,0.439527174066816
v1_progressive,642,316,0.49221183800623053,585,0.9112149532710281,122,0.19003115264797507,0.464588726136041
v3_a_budgeted,642,281,0.43769470404984423,538,0.838006230529595,97,0.15109034267912771,0.4116894988122609
v3_b_nonempty_oracle,642,280,0.43613707165109034,471,0.7336448598130841,106,0.16510903426791276,0.42463058301932993
v3_c_nonconsuming_blankline,642,292,0.45482866043613707,541,0.8426791277258567,97,0.15109034267912771,0.4354234218940101
