method,task_macro_accuracy,ci_low,ci_high,span_micro_accuracy,standalone_forwards
fixed64_seed0,0.25779264695000315,0.22320952455078413,0.2934476384681661,0.31443197479818863,64.0
ordinary_confidence_best_of_grid,0.19576841215436577,0.1680677320520754,0.22548300497313628,0.20063004528450482,512.0
phase5_prefix_only_deterministic_proxy,0.2768616414859179,0.23899758983714173,0.31724516438046196,0.27603859027367594,512.0
phase5_combined_deterministic_proxy,0.310867019351506,0.2691550781084828,0.3541134201614458,0.3047844063792085,512.0
fixed_score_only_abductive_selector,0.27775422284020346,0.2398851755752078,0.31773662449939544,0.2697381374286277,512.0
best_of_8_oracle_ceiling_offline_only,0.4802299864236194,0.4323048318992005,0.5294972407334225,0.5317975979523528,512.0
