synthetic_task_id,source_task_id,length_bucket,policy,status,passed,selected_length,oracle_length,candidate_sha256,compile_passed,error_type,error_message,total_sec_including_probe
SyntheticSecondRegimeMinimal/HumanEval/6/L0/medium,SingleLineInfilling/HumanEval/6/L0,medium,oracle_sufficient_canvas_fresh,ok,True,38,38,8f0b2e444c1663f110c500a18c664cb6eae4c458a1b30ddc5656a9843664530c,True,,,1.3774245289387181
SyntheticSecondRegimeMinimal/HumanEval/7/L0/medium,SingleLineInfilling/HumanEval/7/L0,medium,control_fixed_fresh,ok,True,64,39,86963cba3e79d0e52610c71c6e557e4ce7f1a49da16668db6bbf4d58c9e3826a,True,,,1.3775915839942172
SyntheticSecondRegimeMinimal/HumanEval/7/L0/medium,SingleLineInfilling/HumanEval/7/L0,medium,best_deployable_cal_lite_fresh,ok,True,3,39,2daaebd6de88e8dad880500b83456b3996535cca709de239d4d1cdf93eb03328,True,,,1.6481636529788375
SyntheticSecondRegimeMinimal/HumanEval/7/L0/medium,SingleLineInfilling/HumanEval/7/L0,medium,oracle_sufficient_canvas_fresh,ok,True,39,39,e9a91bf20edc91763e50e350b27fdcc2a2f0b5c43066e8bfd1e754686e37781c,True,,,1.3589598170365207
SyntheticSecondRegimeMinimal/HumanEval/8/L0/medium,SingleLineInfilling/HumanEval/8/L0,medium,control_fixed_fresh,ok,True,64,35,deab41691524fcee6daa6a7613a8a25bf8061b111c66686a8bea3aac619b4bfd,True,,,1.3810206789639778
SyntheticSecondRegimeMinimal/HumanEval/8/L0/medium,SingleLineInfilling/HumanEval/8/L0,medium,best_deployable_cal_lite_fresh,ok,True,15,35,8a486d7311bf228c88a0333abc278690e081cf381ba206d90a4e87dfcc0c061e,True,,,1.6668637550901622
SyntheticSecondRegimeMinimal/HumanEval/8/L0/medium,SingleLineInfilling/HumanEval/8/L0,medium,oracle_sufficient_canvas_fresh,ok,True,35,35,8c422327a66427afb6a09dfdb6e4844fd56966d2b577e214c41143b709f3a042,True,,,1.371729654027149
SyntheticSecondRegimeMinimal/HumanEval/9/L0/medium,SingleLineInfilling/HumanEval/9/L0,medium,control_fixed_fresh,ok,True,64,55,43eb60005ab8618dcefebde6cb43fe42f193704d74369951df547a5374e8563e,True,,,1.3829783910769038
SyntheticSecondRegimeMinimal/HumanEval/9/L0/medium,SingleLineInfilling/HumanEval/9/L0,medium,best_deployable_cal_lite_fresh,ok,True,4,55,b47e6bc0432da014a927c6ee80ca98c56dd8b3a364204109567c0670bb92ed83,True,,,1.6573071450693533
SyntheticSecondRegimeMinimal/HumanEval/9/L0/medium,SingleLineInfilling/HumanEval/9/L0,medium,oracle_sufficient_canvas_fresh,ok,True,55,55,939c6250d211855859d6a1dc4b235020fcec384824d0a6c56c968784759dc828,True,,,1.382395299966447
SyntheticSecondRegimeMinimal/HumanEval/10/L0/medium,SingleLineInfilling/HumanEval/10/L0,medium,control_fixed_fresh,ok,True,64,12,e9dd40fca71176d437fdf489c7f05f2bf1f2fd5a42eae78839d310a4d797818f,True,,,1.4906386350048706
SyntheticSecondRegimeMinimal/HumanEval/10/L0/medium,SingleLineInfilling/HumanEval/10/L0,medium,best_deployable_cal_lite_fresh,ok,True,13,12,a039e4bd5e9566d389c1a8e1f30fce56841e4136403974d13e5d0203407d1b2c,True,,,1.6948897390975617
SyntheticSecondRegimeMinimal/HumanEval/10/L0/medium,SingleLineInfilling/HumanEval/10/L0,medium,oracle_sufficient_canvas_fresh,ok,True,12,12,d7fcbc52a9ff00a60e862bc383e14e0eba97a831e07bf38e7393a57598821d7f,True,,,1.381365753884893
SyntheticSecondRegimeMinimal/HumanEval/11/L0/medium,SingleLineInfilling/HumanEval/11/L0,medium,control_fixed_fresh,ok,True,64,39,b2885f98ef3ee7d5b7f2e1643693d355bc13478ed3ea71c281844cc75c68a0b9,True,,,1.3790432019741274
SyntheticSecondRegimeMinimal/HumanEval/11/L0/medium,SingleLineInfilling/HumanEval/11/L0,medium,best_deployable_cal_lite_fresh,ok,True,6,39,ff3c136f8c0937d15f70edd8199767cdd0af3b039099a23b8653fba8106cd4f2,True,,,1.646033090131823
SyntheticSecondRegimeMinimal/HumanEval/11/L0/medium,SingleLineInfilling/HumanEval/11/L0,medium,oracle_sufficient_canvas_fresh,ok,True,39,39,d195eeb6b0c3110937b6fa025f66ba62c7a08831b8fdd1a0570131c32807bc54,True,,,1.3755802320083603
SyntheticSecondRegimeMinimal/HumanEval/12/L0/long,SingleLineInfilling/HumanEval/12/L0,long,control_fixed_fresh,ok,True,64,56,f6b84fd48036aff0c14d9b983992497dfb796738a5e3ec72500838d2102c916a,True,,,1.374854678986594
SyntheticSecondRegimeMinimal/HumanEval/12/L0/long,SingleLineInfilling/HumanEval/12/L0,long,best_deployable_cal_lite_fresh,ok,True,14,56,9e92c830b1bfcb79d35d3dfbbb58d92bf1dc8cde05487da08011e79b8d709ff8,True,,,1.647373898071237
SyntheticSecondRegimeMinimal/HumanEval/12/L0/long,SingleLineInfilling/HumanEval/12/L0,long,oracle_sufficient_canvas_fresh,ok,True,56,56,d54b599878ec4d643f8282c8cb1e5438e3a18be063fa5abe98744d251f14614e,True,,,1.3757685269229114
SyntheticSecondRegimeMinimal/HumanEval/13/L0/long,SingleLineInfilling/HumanEval/13/L0,long,control_fixed_fresh,ok,True,64,40,0166a2d090da23281fc52ed0dc5e095d6af21d9fdcb91738b834381601d2741e,True,,,1.3714111809968017
SyntheticSecondRegimeMinimal/HumanEval/13/L0/long,SingleLineInfilling/HumanEval/13/L0,long,best_deployable_cal_lite_fresh,ok,True,3,40,95095c63caa395740394f7e72107d98e1decf08c3a4fb9ab4917c1b47219c4ce,True,,,1.6533667867770419
SyntheticSecondRegimeMinimal/HumanEval/13/L0/long,SingleLineInfilling/HumanEval/13/L0,long,oracle_sufficient_canvas_fresh,ok,True,40,40,047024d5a99a19183ec7c18b4033124759fd2ffb28d12c8c9901025801384ea5,True,,,1.3579218100057915
SyntheticSecondRegimeMinimal/HumanEval/14/L0/long,SingleLineInfilling/HumanEval/14/L0,long,control_fixed_fresh,ok,True,64,30,08b243db308e1c784298fd346ea4e69a42d9e0d0555205c5701210311ceb07cf,True,,,1.3655395719688386
SyntheticSecondRegimeMinimal/HumanEval/14/L0/long,SingleLineInfilling/HumanEval/14/L0,long,best_deployable_cal_lite_fresh,ok,True,8,30,69016a9f491cd634680255d08925c3932ee8cd71742a660cedf04fd18fb60ce3,True,,,1.574214399093762
SyntheticSecondRegimeMinimal/HumanEval/14/L0/long,SingleLineInfilling/HumanEval/14/L0,long,oracle_sufficient_canvas_fresh,ok,True,30,30,1173c042ced485e785cdb33d1358a6e672547a1affca5e8f7922e2a6b25ae107,True,,,1.350669540988747
SyntheticSecondRegimeMinimal/HumanEval/15/L0/long,SingleLineInfilling/HumanEval/15/L0,long,control_fixed_fresh,ok,True,64,40,d9617f2a710b3761e0c5614bff70842410f46171e4737254c4b5e8f7037b3f8e,True,,,1.368409019021783
SyntheticSecondRegimeMinimal/HumanEval/15/L0/long,SingleLineInfilling/HumanEval/15/L0,long,best_deployable_cal_lite_fresh,ok,True,3,40,9610decc7e20b201aacb6789851b4e10fd04e3f42d1431b503ef4b2341fd6e9d,True,,,1.6386178161483258
SyntheticSecondRegimeMinimal/HumanEval/15/L0/long,SingleLineInfilling/HumanEval/15/L0,long,oracle_sufficient_canvas_fresh,ok,True,40,40,44027f2d7115eed000cd99c2442ef28777ffb0fc93ca5355e0bbbeb027f361af,True,,,1.3537954950006679
SyntheticSecondRegimeMinimal/HumanEval/16/L0/long,SingleLineInfilling/HumanEval/16/L0,long,control_fixed_fresh,ok,True,64,35,038622de47b1e2788d7518203e97f8f4fa26228603d735be93aa9db46d798d63,True,,,1.3731866619782522
SyntheticSecondRegimeMinimal/HumanEval/16/L0/long,SingleLineInfilling/HumanEval/16/L0,long,best_deployable_cal_lite_fresh,ok,True,3,35,203343e91818d499cf642f7e72bf24a595194b48206ba3f00b83d0061f339271,True,,,1.648585340124555
SyntheticSecondRegimeMinimal/HumanEval/16/L0/long,SingleLineInfilling/HumanEval/16/L0,long,oracle_sufficient_canvas_fresh,ok,True,35,35,a3cffd1a62797f910609bac8bdd742ef4ffdc04985a0628958462dc783eefd2d,True,,,1.355330716993194
SyntheticSecondRegimeMinimal/HumanEval/17/L0/long,SingleLineInfilling/HumanEval/17/L0,long,control_fixed_fresh,ok,True,64,59,15d4d325d1e2eaaf4233e12484036c6632acfe1ea4e2546fab590573ac19d367,True,,,1.396938877995126
SyntheticSecondRegimeMinimal/HumanEval/17/L0/long,SingleLineInfilling/HumanEval/17/L0,long,best_deployable_cal_lite_fresh,ok,True,24,59,69d1182a12edfe1cbbd132c623fa580538e12364ef1d78b77e13d5767d2f82d6,True,,,1.6756145748659037
SyntheticSecondRegimeMinimal/HumanEval/17/L0/long,SingleLineInfilling/HumanEval/17/L0,long,oracle_sufficient_canvas_fresh,ok,True,59,59,cab6f73cd84e9907f7f9aacc0672b9d9213986735058b2a97240c71875a1eb45,True,,,1.3837975580245256
