run,old_trigger_count,h200_trigger_count,selected_length_agreement_rate,bucket_agreement_rate
control,79,80,0.972894482090997,1.0
midcons,102,104,0.9719264278799613,1.0
route2,57,58,0.9699903194578896,1.0
v6,57,58,0.9699903194578896,1.0
cal,,,0.9690222652468539,1.0
