rule,family,clauses,override_count,captured_short_only_wins,anchor_losses,current_pass_losses,short_risk_count,anchor_triggered_pass,rule_triggered_pass,triggered_pass_delta_vs_anchor,captured_task_ids,anchor_loss_task_ids,override_task_ids,utility,decision
delta_short_minus_anchor_trace_gap_median_ge_0p285156_AND_delta_short_minus_anchor_trace_last_remaining_decrease_step_le_neg24,pair,delta_short_minus_anchor_trace_gap_median >= 0.285156 AND delta_short_minus_anchor_trace_last_remaining_decrease_step <= -24,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_gap_median_ge_0p285156_AND_delta_short_minus_anchor_trace_remaining_auc_norm_ge_0p179167,pair,delta_short_minus_anchor_trace_gap_median >= 0.285156 AND delta_short_minus_anchor_trace_remaining_auc_norm >= 0.179167,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_gap_median_ge_0p285156_AND_delta_short_minus_anchor_trace_remaining_last_ge_9,pair,delta_short_minus_anchor_trace_gap_median >= 0.285156 AND delta_short_minus_anchor_trace_remaining_last >= 9,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_gap_median_ge_0p285156_AND_delta_short_minus_anchor_trace_remaining_median_ge_0,pair,delta_short_minus_anchor_trace_gap_median >= 0.285156 AND delta_short_minus_anchor_trace_remaining_median >= 0,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_gap_median_ge_0p285156_AND_delta_short_minus_anchor_trace_remaining_min_ge_9,pair,delta_short_minus_anchor_trace_gap_median >= 0.285156 AND delta_short_minus_anchor_trace_remaining_min >= 9,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_gap_median_ge_0p285156_AND_delta_short_minus_anchor_trace_trace_steps_le_neg23,pair,delta_short_minus_anchor_trace_gap_median >= 0.285156 AND delta_short_minus_anchor_trace_trace_steps <= -23,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_gap_median_ge_0p285156_AND_short_text_nonempty_lines_le_1,pair,delta_short_minus_anchor_trace_gap_median >= 0.285156 AND short_text_nonempty_lines <= 1,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_gap_median_ge_0p285156_AND_delta_short_minus_anchor_trace_remaining_last_ge_6,pair,delta_short_minus_anchor_trace_gap_median >= 0.285156 AND delta_short_minus_anchor_trace_remaining_last >= 6,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_gap_median_ge_0p285156_AND_delta_short_minus_anchor_trace_remaining_min_ge_6,pair,delta_short_minus_anchor_trace_gap_median >= 0.285156 AND delta_short_minus_anchor_trace_remaining_min >= 6,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_gap_median_ge_0p285156_AND_short_text_chars_le_56,pair,delta_short_minus_anchor_trace_gap_median >= 0.285156 AND short_text_chars <= 56,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_short_trace_gap_median_ge_0p65625,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND short_trace_gap_median >= 0.65625,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_short_trace_top1_median_ge_0p765625,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND short_trace_top1_median >= 0.765625,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_delta_short_minus_anchor_trace_final_remaining_ratio_by_selected_ge_0p375,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND delta_short_minus_anchor_trace_final_remaining_ratio_by_selected >= 0.375,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_delta_short_minus_anchor_trace_last_remaining_decrease_step_le_neg24,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND delta_short_minus_anchor_trace_last_remaining_decrease_step <= -24,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_delta_short_minus_anchor_trace_remaining_auc_norm_ge_0p179167,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND delta_short_minus_anchor_trace_remaining_auc_norm >= 0.179167,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_delta_short_minus_anchor_trace_remaining_last_ge_9,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND delta_short_minus_anchor_trace_remaining_last >= 9,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_delta_short_minus_anchor_trace_remaining_median_ge_0,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND delta_short_minus_anchor_trace_remaining_median >= 0,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_delta_short_minus_anchor_trace_remaining_min_ge_9,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND delta_short_minus_anchor_trace_remaining_min >= 9,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_delta_short_minus_anchor_trace_trace_steps_le_neg23,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND delta_short_minus_anchor_trace_trace_steps <= -23,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_short_text_nonempty_lines_le_1,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND short_text_nonempty_lines <= 1,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_delta_short_minus_anchor_trace_remaining_last_ge_6,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND delta_short_minus_anchor_trace_remaining_last >= 6,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_delta_short_minus_anchor_trace_remaining_min_ge_6,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND delta_short_minus_anchor_trace_remaining_min >= 6,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_top1_median_ge_0p283203_AND_short_text_chars_le_56,pair,delta_short_minus_anchor_trace_top1_median >= 0.283203 AND short_text_chars <= 56,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_slow_minus_anchor_trace_top1_median_ge_0p0410156_AND_slow_text_chars_ge_136,pair,delta_slow_minus_anchor_trace_top1_median >= 0.0410156 AND slow_text_chars >= 136,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/7/L0,,SingleLineInfilling/HumanEval/7/L0,88,policy_candidate
delta_slow_minus_anchor_trace_top1_median_ge_0p0410156_AND_delta_slow_minus_anchor_trace_gap_median_ge_0p0273438,pair,delta_slow_minus_anchor_trace_top1_median >= 0.0410156 AND delta_slow_minus_anchor_trace_gap_median >= 0.0273438,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/7/L0,,SingleLineInfilling/HumanEval/7/L0,88,policy_candidate
delta_slow_minus_anchor_trace_top1_median_ge_0p0410156_AND_delta_slow_minus_anchor_trace_top1_median_ge_0p0292969,pair,delta_slow_minus_anchor_trace_top1_median >= 0.0410156 AND delta_slow_minus_anchor_trace_top1_median >= 0.0292969,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/7/L0,,SingleLineInfilling/HumanEval/7/L0,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_short_trace_top1_median_ge_0p765625,pair,short_trace_gap_median >= 0.65625 AND short_trace_top1_median >= 0.765625,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_delta_short_minus_anchor_trace_final_remaining_ratio_by_selected_ge_0p375,pair,short_trace_gap_median >= 0.65625 AND delta_short_minus_anchor_trace_final_remaining_ratio_by_selected >= 0.375,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_delta_short_minus_anchor_trace_last_remaining_decrease_step_le_neg24,pair,short_trace_gap_median >= 0.65625 AND delta_short_minus_anchor_trace_last_remaining_decrease_step <= -24,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_delta_short_minus_anchor_trace_remaining_auc_norm_ge_0p179167,pair,short_trace_gap_median >= 0.65625 AND delta_short_minus_anchor_trace_remaining_auc_norm >= 0.179167,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_delta_short_minus_anchor_trace_remaining_last_ge_9,pair,short_trace_gap_median >= 0.65625 AND delta_short_minus_anchor_trace_remaining_last >= 9,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_delta_short_minus_anchor_trace_remaining_median_ge_0,pair,short_trace_gap_median >= 0.65625 AND delta_short_minus_anchor_trace_remaining_median >= 0,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_delta_short_minus_anchor_trace_remaining_min_ge_9,pair,short_trace_gap_median >= 0.65625 AND delta_short_minus_anchor_trace_remaining_min >= 9,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_delta_short_minus_anchor_trace_trace_steps_le_neg23,pair,short_trace_gap_median >= 0.65625 AND delta_short_minus_anchor_trace_trace_steps <= -23,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_short_text_nonempty_lines_le_1,pair,short_trace_gap_median >= 0.65625 AND short_text_nonempty_lines <= 1,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_delta_short_minus_anchor_trace_remaining_last_ge_6,pair,short_trace_gap_median >= 0.65625 AND delta_short_minus_anchor_trace_remaining_last >= 6,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_delta_short_minus_anchor_trace_remaining_min_ge_6,pair,short_trace_gap_median >= 0.65625 AND delta_short_minus_anchor_trace_remaining_min >= 6,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_gap_median_ge_0p65625_AND_short_text_chars_le_56,pair,short_trace_gap_median >= 0.65625 AND short_text_chars <= 56,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_top1_median_ge_0p765625_AND_delta_short_minus_anchor_trace_final_remaining_ratio_by_selected_ge_0p375,pair,short_trace_top1_median >= 0.765625 AND delta_short_minus_anchor_trace_final_remaining_ratio_by_selected >= 0.375,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_top1_median_ge_0p765625_AND_delta_short_minus_anchor_trace_last_remaining_decrease_step_le_neg24,pair,short_trace_top1_median >= 0.765625 AND delta_short_minus_anchor_trace_last_remaining_decrease_step <= -24,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_top1_median_ge_0p765625_AND_delta_short_minus_anchor_trace_remaining_auc_norm_ge_0p179167,pair,short_trace_top1_median >= 0.765625 AND delta_short_minus_anchor_trace_remaining_auc_norm >= 0.179167,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_top1_median_ge_0p765625_AND_delta_short_minus_anchor_trace_remaining_last_ge_9,pair,short_trace_top1_median >= 0.765625 AND delta_short_minus_anchor_trace_remaining_last >= 9,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_top1_median_ge_0p765625_AND_delta_short_minus_anchor_trace_remaining_median_ge_0,pair,short_trace_top1_median >= 0.765625 AND delta_short_minus_anchor_trace_remaining_median >= 0,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_top1_median_ge_0p765625_AND_delta_short_minus_anchor_trace_remaining_min_ge_9,pair,short_trace_top1_median >= 0.765625 AND delta_short_minus_anchor_trace_remaining_min >= 9,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_top1_median_ge_0p765625_AND_delta_short_minus_anchor_trace_trace_steps_le_neg23,pair,short_trace_top1_median >= 0.765625 AND delta_short_minus_anchor_trace_trace_steps <= -23,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_top1_median_ge_0p765625_AND_short_text_nonempty_lines_le_1,pair,short_trace_top1_median >= 0.765625 AND short_text_nonempty_lines <= 1,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_top1_median_ge_0p765625_AND_delta_short_minus_anchor_trace_remaining_last_ge_6,pair,short_trace_top1_median >= 0.765625 AND delta_short_minus_anchor_trace_remaining_last >= 6,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_top1_median_ge_0p765625_AND_delta_short_minus_anchor_trace_remaining_min_ge_6,pair,short_trace_top1_median >= 0.765625 AND delta_short_minus_anchor_trace_remaining_min >= 6,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
short_trace_top1_median_ge_0p765625_AND_short_text_chars_le_56,pair,short_trace_top1_median >= 0.765625 AND short_text_chars <= 56,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
slow_text_chars_ge_136_AND_delta_slow_minus_anchor_trace_gap_median_ge_0p0273438,pair,slow_text_chars >= 136 AND delta_slow_minus_anchor_trace_gap_median >= 0.0273438,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/7/L0,,SingleLineInfilling/HumanEval/7/L0,88,policy_candidate
slow_text_chars_ge_136_AND_delta_slow_minus_anchor_trace_top1_median_ge_0p0292969,pair,slow_text_chars >= 136 AND delta_slow_minus_anchor_trace_top1_median >= 0.0292969,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/7/L0,,SingleLineInfilling/HumanEval/7/L0,88,policy_candidate
delta_slow_minus_anchor_trace_confidence_median_le_neg0p0292969_AND_anchor_trace_gap_min_le_0p010498,pair,delta_slow_minus_anchor_trace_confidence_median <= -0.0292969 AND anchor_trace_gap_min <= 0.010498,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/128/L2,,SingleLineInfilling/HumanEval/128/L2,88,policy_candidate
delta_slow_minus_anchor_trace_confidence_median_le_neg0p0292969_AND_delta_short_minus_anchor_trace_gap_min_ge_0p0258789,pair,delta_slow_minus_anchor_trace_confidence_median <= -0.0292969 AND delta_short_minus_anchor_trace_gap_min >= 0.0258789,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/128/L2,,SingleLineInfilling/HumanEval/128/L2,88,policy_candidate
delta_short_minus_anchor_trace_final_remaining_ratio_by_selected_ge_0p375_AND_short_text_nonempty_lines_le_1,pair,delta_short_minus_anchor_trace_final_remaining_ratio_by_selected >= 0.375 AND short_text_nonempty_lines <= 1,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_final_remaining_ratio_by_selected_ge_0p375_AND_short_text_chars_le_56,pair,delta_short_minus_anchor_trace_final_remaining_ratio_by_selected >= 0.375 AND short_text_chars <= 56,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_last_remaining_decrease_step_le_neg24_AND_short_text_nonempty_lines_le_1,pair,delta_short_minus_anchor_trace_last_remaining_decrease_step <= -24 AND short_text_nonempty_lines <= 1,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_last_remaining_decrease_step_le_neg24_AND_short_text_chars_le_56,pair,delta_short_minus_anchor_trace_last_remaining_decrease_step <= -24 AND short_text_chars <= 56,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_remaining_auc_norm_ge_0p179167_AND_short_text_nonempty_lines_le_1,pair,delta_short_minus_anchor_trace_remaining_auc_norm >= 0.179167 AND short_text_nonempty_lines <= 1,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_short_minus_anchor_trace_remaining_auc_norm_ge_0p179167_AND_short_text_chars_le_56,pair,delta_short_minus_anchor_trace_remaining_auc_norm >= 0.179167 AND short_text_chars <= 56,1,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6,88,policy_candidate
delta_slow_minus_anchor_trace_confidence_median_le_neg0p0292969,single,delta_slow_minus_anchor_trace_confidence_median <= -0.0292969,2,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/128/L2,,SingleLineInfilling/HumanEval/100/L0;SingleLineInfilling/HumanEval/128/L2,91,policy_candidate
delta_slow_minus_anchor_trace_confidence_median_le_neg0p0292969_AND_delta_slow_minus_anchor_trace_confidence_median_le_neg0p0195312,pair,delta_slow_minus_anchor_trace_confidence_median <= -0.0292969 AND delta_slow_minus_anchor_trace_confidence_median <= -0.0195312,2,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/128/L2,,SingleLineInfilling/HumanEval/100/L0;SingleLineInfilling/HumanEval/128/L2,86,policy_candidate
delta_short_minus_anchor_trace_final_remaining_ratio_by_selected_ge_0p375,single,delta_short_minus_anchor_trace_final_remaining_ratio_by_selected >= 0.375,3,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6;SingleLineInfilling/HumanEval/134/L2;SingleLineInfilling/HumanEval/163/L3,89,policy_candidate
delta_short_minus_anchor_trace_last_remaining_decrease_step_le_neg24,single,delta_short_minus_anchor_trace_last_remaining_decrease_step <= -24,3,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6;SingleLineInfilling/HumanEval/134/L2;SingleLineInfilling/HumanEval/163/L3,89,policy_candidate
delta_short_minus_anchor_trace_remaining_auc_norm_ge_0p179167,single,delta_short_minus_anchor_trace_remaining_auc_norm >= 0.179167,3,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6;SingleLineInfilling/HumanEval/134/L2;SingleLineInfilling/HumanEval/163/L3,89,policy_candidate
delta_short_minus_anchor_trace_remaining_last_ge_9,single,delta_short_minus_anchor_trace_remaining_last >= 9,3,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6;SingleLineInfilling/HumanEval/134/L2;SingleLineInfilling/HumanEval/163/L3,89,policy_candidate
delta_short_minus_anchor_trace_remaining_median_ge_0,single,delta_short_minus_anchor_trace_remaining_median >= 0,3,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6;SingleLineInfilling/HumanEval/134/L2;SingleLineInfilling/HumanEval/163/L3,89,policy_candidate
delta_short_minus_anchor_trace_remaining_min_ge_9,single,delta_short_minus_anchor_trace_remaining_min >= 9,3,1,0,0,0,6,7,1,SingleLineInfilling/HumanEval/11/L6,,SingleLineInfilling/HumanEval/11/L6;SingleLineInfilling/HumanEval/134/L2;SingleLineInfilling/HumanEval/163/L3,89,policy_candidate
