method,row_count,cluster_count,row_pass_at_1,equal_weight_task_macro_pass_at_1,task_macro_ci_low,task_macro_ci_high,bootstrap_replicates,bootstrap_seed,total_search_forward_calls,mean_search_forward_calls,total_decode_forward_calls,mean_decode_forward_calls,total_forward_calls,mean_total_forward_calls,total_token_forwards,mean_token_forwards,total_wall_sec,mean_wall_sec,peak_gpu_memory_bytes
dreamon_dynamic_min4_max64,927,148,0.8845738942826321,0.7811111689401165,0.7247887791884502,0.8342754904555888,10000,20260731,0.0,0.0,12524.0,13.51024811218986,12524.0,13.51024811218986,3562147.0,3842.661272923409,1417.0744759242516,1.5286671800693112,24032471552.0
dreamon_dynamic_min8_max64,927,148,0.9039913700107874,0.8133130289380289,0.7589129836004831,0.8634597848660347,10000,20260732,0.0,0.0,13199.0,14.238403451995685,13199.0,14.238403451995685,3793167.0,4091.873786407767,1576.9010506338673,1.701079882021432,24047672320.0
dreamon_dynamic_min16_max64,927,148,0.9072276159654801,0.8317881255381254,0.7807767521048772,0.8799088538151033,10000,20260733,0.0,0.0,14806.0,15.971952535059332,14806.0,15.971952535059332,4287168.0,4624.776699029127,1762.6199740384473,1.9014239202140748,24139347456.0
dreamon_dynamic_min32_max64,927,148,0.912621359223301,0.8303718147468147,0.7772950742481989,0.8784391617204116,10000,20260734,0.0,0.0,14318.0,15.445523193096008,14318.0,15.445523193096008,4041982.0,4360.28263214671,1718.3973947296618,1.853718872416032,24018886656.0
dreamon_dynamic_min64_max64,927,148,0.9169363538295577,0.8512993106743105,0.8025823601604851,0.8974112292081037,10000,20260735,0.0,0.0,9168.0,9.889967637540453,9168.0,9.889967637540453,2595211.0,2799.5803667745417,1249.2048816781025,1.347578081637651,24258207744.0
