comparison,wins,losses,both_pass,both_fail,net_wins,mcnemar_exact_p,row_delta,row_ci_low,row_ci_high,cluster_ci_low,cluster_ci_high,task_macro_delta,compile_help,compile_harm,exact_match_help,exact_match_harm
primary_b_vs_a,15,16,265,346,-1,1,-0.0015576324,-0.0186915888,0.0155763240,-0.0260338901,0.0208644413,0.0129410842,6,73,9,0
a_vs_one_shot,94,114,187,247,-20,0.1875708464,-0.0311526480,-0.0747663551,0.0124610592,-0.0873947004,0.0247319725,-0.0278376753,3,103,57,43
a_vs_v1_progressive,60,95,221,266,-35,0.006132892627,-0.0545171340,-0.0934579439,-0.0171339564,-0.0968352828,-0.0139318885,-0.0528992273,30,77,22,47
a_vs_v2_hard_v1_multifactor,275,1,6,360,274,4.562795047e-81,0.4267912773,0.3878504673,0.4657320872,0.3760513962,0.4797256005,0.3975832186,492,0,95,1
b_vs_one_shot,94,115,186,247,-21,0.1663794203,-0.0327102804,-0.0763239875,0.0109034268,-0.0858433735,0.0236612952,-0.0148965910,2,169,64,41
b_vs_v1_progressive,66,102,214,260,-36,0.006751369163,-0.0560747664,-0.0965732087,-0.0171339564,-0.1017228303,-0.0102558480,-0.0399581431,33,147,31,47
b_vs_v2_hard_v1_multifactor,274,1,6,361,273,9.092645726e-81,0.4252336449,0.3878504673,0.4641744548,0.3700891331,0.4832741832,0.4105243028,437,12,103,0
