method,row_count,ok_row_count,error_row_count,task_group_count,equal_weight_task_macro_accuracy,task_macro_ci_low,task_macro_ci_high,bootstrap_replicates,bootstrap_seed,span_micro_accuracy_descriptive,mean_standalone_forward_count,mean_incremental_forward_count,mean_token_forward_budget,mean_wall_sec,mean_peak_memory_bytes
fixed64_seed0,5079,5079,0,148,0.25779264695000315,0.22320952455078413,0.2934476384681661,10000,20260715,0.31443197479818863,512.0,0.0,30720.0,5.570192421125632,nan
ordinary_confidence_best_of_grid,5079,5079,0,148,0.19576841215436577,0.1680677320520754,0.22548300497313628,10000,20260716,0.20063004528450482,512.0,0.0,30720.0,5.19768497218175,nan
phase5_prefix_only_deterministic_proxy,5079,5079,0,148,0.2768616414859179,0.23899758983714173,0.31724516438046196,10000,20260717,0.27603859027367594,512.0,0.0,30720.0,5.5258539188686004,nan
phase5_combined_deterministic_proxy,5079,5079,0,148,0.310867019351506,0.2691550781084828,0.3541134201614458,10000,20260718,0.3047844063792085,512.0,0.0,30720.0,5.615595774600229,nan
fixed_score_only_abductive_selector,5079,5079,0,148,0.27775422284020346,0.2398851755752078,0.31773662449939544,10000,20260719,0.2697381374286277,512.0,0.0,30720.0,5.346750155427214,nan
best_of_8_oracle_ceiling_offline_only,5079,5079,0,148,0.4802299864236194,0.4323048318992005,0.5294972407334225,10000,20260720,0.5317975979523528,512.0,0.0,30720.0,5.296891094790364,nan
