oracle_bucket,count,wins,losses,net,base_pass_rate,candidate_pass_rate
<=8,598,16,7,9,0.8846153846153846,0.8996655518394648
9-12,232,5,0,5,0.7758620689655172,0.7974137931034483
13-16,90,4,0,4,0.5777777777777777,0.6222222222222222
17-24,82,6,0,6,0.14634146341463414,0.21951219512195122
25+,31,0,0,0,0.12903225806451613,0.12903225806451613
