method_a,method_b,task_macro_delta,task_macro_ci_low,task_macro_ci_high,task_group_count,wins,losses,ties,span_help,span_harm,group_label_swap_two_sided_p,permutation_replicates,permutation_seed
m1_dependency_cone_full,equal_compute_generic_remask,-0.006756756756756757,-0.02027027027027027,0.0,148,0,1,147,0,1,1.0,10000,20261806
m1_score_only_abductive_selector,ordinary_confidence_best_of_grid,-0.02027027027027027,-0.0945945945945946,0.05405405405405406,148,13,16,119,13,16,0.7071292870712929,10000,20261807
m1_dependency_cone_full,m1_score_only_abductive_selector,-0.02027027027027027,-0.10135135135135136,0.060810810810810814,148,16,19,113,16,19,0.7384261573842615,10000,20261808
ordinary_confidence_best_of_grid,fixed64_seed0,0.02027027027027027,-0.05405405405405406,0.10135135135135136,148,19,16,113,19,16,0.7416258374162584,10000,20261809
equal_compute_generic_remask,fixed64_seed0,-0.013513513513513514,-0.0472972972972973,0.02027027027027027,148,2,4,142,2,4,0.6913308669133087,10000,20261810
m1_score_only_abductive_selector,fixed64_seed0,0.0,-0.08783783783783784,0.08783783783783784,148,20,20,108,20,20,1.0,10000,20261811
m1_dependency_cone_full,fixed64_seed0,-0.02027027027027027,-0.05405405405405406,0.006756756756756757,148,1,4,143,1,4,0.3758624137586241,10000,20261812
oracle_ceiling_offline_only,fixed64_seed0,0.23648648648648649,0.13513513513513514,0.33783783783783783,148,49,14,85,49,14,9.999000099990002e-05,10000,20261813
