method,task_macro_accuracy,task_macro_ci_low,task_macro_ci_high,span_micro_accuracy_descriptive,standalone_forwards,token_forward_budget,wall_sec,run_peak_cuda_memory_bytes
fixed64_seed0,0.25675675675675674,0.1891891891891892,0.3310810810810811,0.25675675675675674,64.0,4096.0,24.419118305644638,16545872384
ordinary_confidence_best_of_grid,0.27702702702702703,0.20945945945945946,0.35135135135135137,0.27702702702702703,512.0,30720.0,193.95867037246117,16545872384
equal_compute_generic_remask,0.24324324324324326,0.17567567567567569,0.3108108108108108,0.24324324324324326,576.0,34636.10810810811,205.34083493795353,16545872384
m1_score_only_abductive_selector,0.25675675675675674,0.1891891891891892,0.3310810810810811,0.25675675675675674,512.0,30720.0,193.95867037246117,16545872384
m1_dependency_cone_full,0.23648648648648649,0.16891891891891891,0.30405405405405406,0.23648648648648649,576.0,34636.10810810811,204.08280897867155,16545872384
oracle_ceiling_offline_only,0.49324324324324326,0.41216216216216217,0.5743243243243243,0.49324324324324326,64.0,1664.4324324324325,22.17267838341335,16545872384
