method,row_count,ok_row_count,error_row_count,task_group_count,equal_weight_task_macro_accuracy,task_macro_ci_low,task_macro_ci_high,bootstrap_replicates,bootstrap_seed,span_micro_accuracy_descriptive,mean_standalone_forward_count,mean_incremental_forward_count,mean_token_forward_budget,mean_wall_sec,mean_peak_memory_bytes
fixed64_seed0,148,148,0,148,0.25675675675675674,0.1891891891891892,0.3310810810810811,10000,20260715,0.25675675675675674,64.0,0.0,4096.0,24.419118305644638,nan
ordinary_confidence_best_of_grid,148,148,0,148,0.27702702702702703,0.20945945945945946,0.35135135135135137,10000,20260716,0.27702702702702703,512.0,0.0,30720.0,193.95867037246117,nan
equal_compute_generic_remask,148,148,0,148,0.24324324324324326,0.17567567567567569,0.3108108108108108,10000,20260717,0.24324324324324326,576.0,64.0,34636.10810810811,205.34083493795353,nan
m1_score_only_abductive_selector,148,148,0,148,0.25675675675675674,0.1891891891891892,0.3310810810810811,10000,20260718,0.25675675675675674,512.0,0.0,30720.0,193.95867037246117,nan
m1_dependency_cone_full,148,148,0,148,0.23648648648648649,0.16891891891891891,0.30405405405405406,10000,20260719,0.23648648648648649,576.0,64.0,34636.10810810811,204.08280897867155,nan
oracle_ceiling_offline_only,148,148,0,148,0.49324324324324326,0.41216216216216217,0.5743243243243243,10000,20260720,0.49324324324324326,64.0,0.0,1664.4324324324325,22.17267838341335,nan
