run,old_gpu,h200_gpu,old_rows,h200_rows,old_pass_count,h200_pass_count,pass_delta_h200_minus_old,h200_wins,h200_losses,tie_pass,tie_fail,outcome_agreement_rate,candidate_hash_agreement_rate,selected_length_agreement_rate,bucket_agreement_rate,error_type_agreement_rate,old_avg_total_sec_including_probe,h200_avg_total_sec_including_probe,old_trigger_count,h200_trigger_count,old_path,h200_path
control,NVIDIA RTX A6000,NVIDIA H200 NVL,1033,1033,787,787,0,4,4,783,242,0.9922555663117134,0.9622458857696031,0.972894482090997,1.0,0.989351403678606,6.025422790634112,1.322957830938281,79,80,/home/shx/projects/dllm_infilling/outputs_clean/full_lcal_official_bounded_repair_union_s3_off6_9_delta1_8_susp16_a6000_control_20260528_163529,/home/shx/projects/dllm_infilling/outputs_clean/h200_rebaseline_control_20260706_tier1_20260706_031441
midcons,NVIDIA RTX A6000,NVIDIA H200 NVL,1033,1033,795,794,-1,4,5,790,234,0.9912875121006777,0.9612778315585673,0.9719264278799613,1.0,0.9883833494675702,11.97756512547029,1.4654791171587904,102,104,/home/shx/projects/dllm_infilling/outputs_clean/full_lcal_official_bounded_repair_union_midcons_off11_13_d3_7_r08_a6000_20260528_221626,/home/shx/projects/dllm_infilling/outputs_clean/h200_rebaseline_midcons_20260706_tier1_20260706_042029
route2,NVIDIA RTX A6000,NVIDIA H200 NVL,1033,1033,801,795,-6,3,9,792,229,0.9883833494675702,0.9554695062923524,0.9699903194578896,1.0,0.9854791868344628,5.4621755333458655,1.5564461394886162,57,58,/home/shx/projects/dllm_infilling/outputs_clean/full_route2_trace_rescue_precision_top1_conf_len32_gpu3_20260614_010516,/home/shx/projects/dllm_infilling/outputs_clean/h200_rebaseline_route2_20260707_tier1_rerun_tmux_20260707_032537
v6,NVIDIA RTX A6000,NVIDIA H200 NVL,1033,1033,802,796,-6,3,9,793,228,0.9883833494675702,0.9554695062923524,0.9699903194578896,1.0,0.9854791868344628,4.876820151190141,1.721240794600442,57,58,/home/shx/projects/dllm_infilling/git_workspace/outputs_clean/full_route2_v6_short_override_gpu2_20260620_124754,/home/shx/projects/dllm_infilling/outputs_clean/h200_rebaseline_v6_20260707_tier1_tmux_20260707_044307
cal,NVIDIA RTX A6000,NVIDIA H200 NVL,1033,1033,774,769,-5,4,9,765,255,0.9874152952565344,0.9612778315585673,0.9690222652468539,1.0,0.9854791868344628,3.569845807120801,1.1702381572060672,,,/home/shx/projects/dllm_infilling/outputs_clean/full_official_cal_lcas_v3b_accel_gpus10_20260702_resumed_full_20260703_111615,/home/shx/projects/dllm_infilling/outputs_clean/h200_rebaseline_cal_20260707_tier1_tmux_20260707_051939
