scope,old_rows,h200_rows,common_rows,old_pass_count,h200_pass_count,pass_delta_h200_minus_old,h200_wins,h200_losses,tie_pass,tie_fail,outcome_agreement_rate,benefit_label_agreement_rate,harm_label_agreement_rate,candidate_hash_agreement_rate,actual_canvas_agreement_rate,bucket_agreement_rate,old_benefit_count_non_keep,h200_benefit_count_non_keep,old_harm_count_non_keep,h200_harm_count_non_keep,old_mean_cost_sec,h200_mean_cost_sec
overall,4635,4635,4635,2504,2506,2,118,116,2388,2013,0.9495145631067962,0.9887810140237324,0.9553398058252427,0.801294498381877,0.993311758360302,1.0,191,193,1242,1237,3.52723535730289,1.1893461289886307
split:calibration,775,775,775,433,427,-6,13,19,414,329,0.9587096774193549,0.9896774193548387,0.9651612903225807,0.8038709677419354,0.9961290322580645,1.0,30,22,222,225,3.380813472425385,1.209443838768939
split:train,3225,3225,3225,1753,1758,5,91,86,1667,1381,0.9451162790697675,0.9891472868217054,0.950077519379845,0.7996899224806202,0.9925581395348837,1.0,133,140,860,857,3.6086271780700057,1.1906780495849987
split:validation,635,635,635,318,321,3,14,11,307,303,0.9606299212598425,0.9858267716535433,0.9700787401574803,0.8062992125984252,0.9937007874015747,1.0,28,31,160,155,3.2925713239267,1.1580529494563074
action:EXPAND_16,927,927,927,530,520,-10,10,20,510,387,0.9676375404530745,0.9892125134843581,0.9687162891046386,0.86084142394822,0.9956850053937433,1.0,50,48,231,238,3.5546009873142745,1.217164300758258
action:EXPAND_24,927,927,927,467,474,7,30,23,444,430,0.9428263214670982,0.982740021574973,0.9525350593311759,0.8036677454153183,1.0,1.0,52,50,296,286,3.7079213942675384,1.2552670460391389
action:EXPAND_32,927,927,927,417,418,1,29,28,389,481,0.9385113268608414,0.9848975188781014,0.9439050701186623,0.7454153182308522,1.0,1.0,51,53,345,345,3.8185385906544664,1.2689287761934458
action:EXPAND_48,927,927,927,379,384,5,45,40,339,503,0.9083063646170443,0.9870550161812298,0.9115426105717368,0.6343042071197411,1.0,1.0,38,42,370,368,4.098140782529705,1.3240121112341596
action:KEEP_PRIMARY,927,927,927,711,710,-1,4,5,706,212,0.9902912621359223,1.0,1.0,0.9622437971952535,0.970873786407767,1.0,0,0,0,0,2.456975031748465,0.8813584107181516
