oracle_bucket,count,wins,losses,net,base_pass_rate,candidate_pass_rate
<=8,598,1,0,1,0.8979933110367893,0.8996655518394648
9-12,232,3,0,3,0.771551724137931,0.7844827586206896
13-16,90,4,0,4,0.5444444444444444,0.5888888888888889
17-24,82,0,0,0,0.2073170731707317,0.2073170731707317
25+,31,0,0,0,0.16129032258064516,0.16129032258064516
