method,row_count,cluster_count,row_pass_at_1,equal_weight_task_macro_pass_at_1,task_macro_ci_low,task_macro_ci_high,bootstrap_replicates,bootstrap_seed,total_search_forward_calls,mean_search_forward_calls,total_decode_forward_calls,mean_decode_forward_calls,total_forward_calls,mean_total_forward_calls,total_token_forwards,mean_token_forwards,total_wall_sec,mean_wall_sec,peak_gpu_memory_bytes
daedal_dynamic,838,143,0.5143198090692124,0.3799610676404935,0.33053338801222504,0.42889229414003976,10000,20260731,0.0,0.0,6480.0,7.7326968973747015,6480.0,7.7326968973747015,1601495.0,1911.0918854415274,3802.0911898304475,4.537101658508887,17751597056.0
daedal_fixed8_control,838,143,0.5083532219570406,0.37585863100217165,0.32701583264198275,0.4248729283894446,10000,20260732,0.0,0.0,3817.0,4.554892601431981,3817.0,4.554892601431981,928151.0,1107.5787589498807,1106.6339662104147,1.320565592136533,17733972992.0
