split,task_count,primary_pass_count,primary_fail_count,row_level_recoverable_count,row_level_harmable_count,action_row_benefit_count,action_row_harm_count,action_row_neutral_count,no_action_passes,keep_best,expansion_best,minimum_keep,minimum_expand_16,minimum_expand_24,minimum_expand_32,minimum_expand_48,minimum_unrecoverable
overall,927,710,217,103,554,193,1237,2278,114,710,103,710,48,28,15,12,114
train,645,495,150,74,390,140,857,1583,76,495,74,495,35,20,11,8,76
calibration,155,126,29,12,97,22,225,373,17,126,12,126,4,4,2,2,17
validation,127,89,38,17,67,31,155,322,21,89,17,89,9,4,2,2,21
