task_id,oracle_bucket,baseline_selected_length,route2_primary_selected_length,route2_selected_length,route2_rescue_length,route2_selected_minus_oracle_length,route2_abs_selected_minus_oracle_length,route2_primary_stop_reason,route2_final_source,route2_trace_top1_last,route2_trace_top1_median,route2_trace_confidence_max,route2_trace_max_remaining_plateau_steps,route2_best_len,route2_best_long_len,route2_long_score_max,route2_long_ratio,classes,pairwise,oracle_length,baseline_passed,route2_passed,route2_triggered,rescue_len_ge_oracle
SingleLineInfilling/HumanEval/116/L0,17-24,3,3,32,32,11,11,no_remaining_masks,rescue,0.1689453125,0.173828125,0.71484375,21.0,,,,,route2_win;triggered_rescued_long,win,21,False,True,True,True
SingleLineInfilling/HumanEval/16/L0,<=8,3,3,32,32,24,24,no_remaining_masks,rescue,0.057861328125,0.19140625,0.68359375,21.0,,,,,route2_win;short_or_medium_win,win,8,False,True,True,True
SingleLineInfilling/HumanEval/34/L0,<=8,3,3,32,32,24,24,no_remaining_masks,rescue,0.166015625,0.2109375,0.71875,21.0,,,,,route2_win;short_or_medium_win,win,8,False,True,True,True
SingleLineInfilling/HumanEval/60/L0,9-12,3,3,32,32,22,22,no_remaining_masks,rescue,0.2373046875,0.2373046875,0.74609375,21.0,,,,,route2_win;short_or_medium_win,win,10,False,True,True,True
SingleLineInfilling/HumanEval/66/L1,17-24,3,3,32,32,11,11,no_remaining_masks,rescue,0.1435546875,0.2734375,0.7109375,21.0,,,,,route2_win;triggered_rescued_long,win,21,False,True,True,True
SingleLineInfilling/HumanEval/67/L4,9-12,3,3,32,32,23,23,global_gap_early_commit,rescue,0.33203125,0.33203125,0.55078125,21.0,,,,,route2_win;short_or_medium_win,win,9,False,True,True,True
